var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
9,12,5,3,13,4.0595,3.3121,4.2041,2.3506,1.9868000000000001,1.0
0,15,0,3,4,3.4541,4.4245,1.7885,3.5742000000000003,2.2295,2.0
13,12,3,3,13,3.5462,1.9704000000000002,4.2214,1.9943,2.1723,3.0
10,17,5,9,5,1.9233,3.7459,4.9634,3.3959,3.1845,2.0
6,17,5,6,3,2.6006,3.0425,3.6307,4.4662,4.6239,2.0
12,12,12,12,12,3.4732000000000003,3.4271000000000003,3.4494000000000007,1.1117,1.9176,5.0
0,12,0,0,0,2.3027,3.8920999999999997,2.5998,4.299,2.561,4.0
13,7,5,9,5,2.1766,3.46,4.8918,2.3593,3.1694000000000004,2.0
0,15,0,3,3,3.5095,4.2547,1.8445,3.9771,2.4649,3.0
3,9,14,6,3,3.0052000000000003,2.169,1.9684,4.6108,3.2733,2.0
0,6,0,6,0,2.7211000000000003,4.070399999999999,2.8125999999999998,3.6986999999999997,2.6943,4.0
0,11,5,6,2,3.2074,3.8395,3.4774,4.4144,3.6412999999999998,1.0
6,2,16,15,0,1.2611999999999999,4.1892,3.0576000000000003,3.6848,4.2396,1.0
5,10,5,5,10,2.4598999999999998,3.7432,3.7218000000000004,2.5853,3.5067000000000004,4.0
5,12,5,12,5,2.8440000000000003,3.7248,4.2255,2.5862000000000003,2.3505,4.0
17,17,5,6,17,3.1078,3.1077,3.9089,3.7159999999999997,4.5037,3.0
9,12,5,9,13,3.5058999999999996,3.3960000000000004,4.6022,2.1933,2.3507000000000002,2.0
9,15,5,5,9,3.5846,4.5167,2.8626000000000005,2.791,3.3647,3.0
15,15,5,15,2,3.6301,3.8305,3.0054000000000003,3.906,3.2459999999999996,3.0
7,7,7,3,3,3.4229000000000003,3.2681,2.7453,2.577,2.9849,4.0
10,11,5,2,0,2.2671,3.5811,4.355300000000001,4.1906,2.6168,1.0
9,3,5,12,12,4.0231,4.2036,3.7698,1.2910000000000001,1.8512999999999997,2.0
9,2,5,9,9,2.6744,4.6442000000000005,3.9391000000000003,2.6802,3.5332,3.0
10,17,5,6,2,2.7791,3.2023,4.6368,4.3335,4.0138,1.0
10,17,5,6,13,3.2721,2.4322,4.6981,3.5676,3.2805,1.0
6,15,14,15,3,2.7563,3.3407,1.3444,4.3271,4.1655999999999995,2.0
10,11,5,0,10,1.6364,4.208600000000001,3.4005,4.5159,3.2823,2.0
3,15,5,3,3,3.2662000000000004,3.7978,2.7617000000000003,4.1193,2.6068,3.0
9,2,9,9,2,1.8809,4.6648,3.7173000000000003,2.1884,3.528,4.0
2,2,9,9,2,1.1669999999999998,3.9894999999999996,3.5845,2.9982,4.0343,4.0
6,11,5,6,0,2.1202,3.8189,3.7893,4.429799999999999,4.1915,2.0
12,2,0,15,3,2.0475,4.42,2.3192000000000004,3.5405,4.1193,1.0
8,2,5,6,3,2.4666,3.7920000000000003,3.5900000000000003,3.5738000000000003,4.4804,1.0
12,17,5,6,2,2.6813,3.4509,4.5962000000000005,3.5455,4.3268,1.0
12,11,5,9,16,2.0532,4.6975,3.5442,3.1781,3.3273,1.0
10,11,0,0,10,1.4224999999999999,4.297000000000001,2.7674,4.5371999999999995,3.1842999999999995,3.0
10,12,5,18,5,2.1969,3.5985,4.6959,3.6086,2.4240000000000004,2.0
2,2,5,6,2,2.2563,3.4177,3.8713,4.2993,4.5369,3.0
3,12,8,6,3,3.3657000000000004,2.4704,3.2813000000000003,4.2067,2.516,2.0
2,12,5,2,5,2.3796999999999997,2.6888,4.4758000000000004,3.6780999999999997,2.6498,3.0
