var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
6,6,7,0.8791,2.1359,1.0455,1.9058,2.1654,2.0
0,7,0,2.4558999999999997,1.3580999999999999,0.4281,2.2147,1.8840999999999999,2.0
0,8,5,2.7662,1.2426,1.7755999999999998,1.7864,0.45020000000000004,1.0
6,5,0,1.7471,1.6416,1.6686,2.5212,2.8049999999999997,1.0
6,5,1,1.1725999999999999,1.7826,1.8542,2.2711,2.8003,1.0
3,3,3,1.5823,0.913,2.4055,2.0084,2.1566,3.0
0,5,4,2.2169,2.3578,2.2729999999999997,2.6145,1.5848,1.0
2,5,4,1.3316,1.8274000000000001,2.5887000000000002,2.7912,2.3024,1.0
2,0,2,1.2617,1.578,1.8194,2.8152,2.3245999999999998,2.0
0,5,8,1.8409,1.854,1.4722,2.5254,2.0938,1.0
9,5,9,2.1193,2.2805,2.2535,1.8583,1.8708,2.0
7,5,7,2.0759,2.2861000000000002,2.2075,1.4188,1.7614,2.0
5,5,3,1.7816,1.5598,2.776,2.0587,2.4931,2.0
6,5,4,1.5718999999999999,2.1546000000000003,2.5601000000000003,2.6376,2.3806,1.0
9,0,4,1.8317,2.8084,2.0571,2.0046,1.686,1.0
0,0,7,1.9809,2.6263,1.0279,2.1216,1.3744,2.0
9,5,6,2.4669,2.7798,2.3988,1.3679000000000001,1.3863999999999999,1.0
2,2,8,0.2626,1.0859,1.2431,2.5478,2.5229,2.0
5,5,5,1.9642,1.5309000000000001,2.5478,1.7007999999999999,1.7152,3.0
8,0,8,1.0329,1.9321,1.4438,1.8494000000000002,2.6932,2.0
7,5,6,2.5193,2.167,2.4655,1.3214000000000001,1.452,1.0
8,5,3,1.7134999999999998,1.8155000000000001,2.9373,1.7191999999999998,2.786,1.0
7,5,4,2.098,2.1066000000000003,2.7882,1.9349,1.8617,1.0
9,6,6,1.7962,2.5816,1.4649,1.1522000000000001,1.2714999999999999,2.0
3,7,3,1.9142000000000001,0.8528,1.6320000000000001,2.2985,1.9952999999999999,2.0
8,9,4,0.9771,2.4359,2.3872999999999998,1.098,2.1818,1.0
8,0,4,1.4089,2.4359,2.2446,1.9385000000000001,2.1842,1.0
2,5,2,1.4756,1.489,2.4838,2.792,2.4347,2.0
7,5,3,2.1887,1.5752000000000002,2.8165,1.7388,2.3534,1.0
0,0,4,2.003,2.4468,1.6086,2.6377,1.4747,2.0
7,5,5,2.3712999999999997,1.5463,2.5883,1.3809,1.5755000000000001,2.0
8,9,9,1.0508,1.9969999999999999,1.9193,0.9749000000000001,2.2565,2.0
3,0,0,1.721,1.4468999999999999,1.0012,2.6848,1.943,2.0
2,2,2,0.7826,1.2513,1.939,2.6377,2.1462,3.0
5,5,4,1.6909,2.0912,2.7477,2.2548,2.0014,2.0
2,5,8,0.9556,1.3236,1.7879,2.7020999999999997,2.8114,1.0
8,5,4,1.6227999999999998,2.3468999999999998,2.909,1.9153,2.2943,1.0
9,5,4,2.0456,2.7194000000000003,2.7215,1.9814,1.7961,1.0
2,2,4,0.6386000000000001,1.5897000000000001,2.0439,2.6369,2.0139,2.0
7,8,4,2.374,1.5516999999999999,2.4907000000000004,1.6608,1.0133,1.0
9,9,9,1.4736,2.3695,1.7318,1.041,1.7583000000000002,3.0
6,6,4,0.9012,1.9564,1.6262,2.4219,2.2657000000000003,2.0
8,8,3,1.9895,1.2606,2.6398,1.4451,1.9376,2.0
0,8,2,2.6369,1.4645,1.8706,2.3412,0.8687,1.0
9,8,6,2.7429,2.2249,2.1013,1.0938,0.538,1.0
8,0,0,1.5840999999999998,1.9228999999999998,1.3531,1.8221,2.6086,2.0
0,5,0,2.3921,1.8448000000000002,1.3815,2.4981,2.0092,2.0
